Position ,Company Name ,Date of apply,Result Date ,Status,No of companies (Started Tracking),Company  Job Portal,Resume Tempelete Used (Click to access One Drive ),
Working Student (f/m/d) - Advanced Analytics and Artificial Intelligence,Siemens,24-07-24,05-08-24,Rejected ,1,Siemens ,Resume(Working Student Advanced Analytic).pdf,
Working Student (f/m/d) Organizational Management & Development,Siemens,24-07-24,,In-progress,2,Siemens ,Resume(Working student BMW).pdf,
"Praktikant IT Strategie (w/m/x)"" - 134367",BMW ,24-07-24,,In-progress,3,BMW,BMW,
Intern Data Driven Development in Sensor Fusion for Autonomous Driving ,BMW ,24-07-24,,Rejected ,4,BMW,Resume(Working student BMW).pdf,
Working Student: Strategy & Governance for Application Marketing,Infineon,24-07-24,02-08-24,Rejected ,5,Infineon,Resume(Working student BMW).pdf,
Bewerbung als Teilzeit - Restaurant-Mitarbeiter:in in Ingolstadt,McDonald's,25-07-24,,Rejected ,6,McDonald's,McDonald's,
Internship - Analysis Center Audi Sport,Audi,25-07-24,,Rejected ,7,Audi,Resume(Audi).pdf,
Working Student in IT Risk Management,Bosch ,26-07-24,31-07-24,Rejected ,8,Bosch   ,Resume(AUDI 3).pdf, Application Tracking
Working Student Management Technical Training Academy,Bosch ,26-07-24,05-08-24,Rejected ,9,Bosch ,Resume( Bosch 2).pdf,
Working Student IT Infrastructure and Communications,Puma Group,26-07-24,04-08-24,Rejected ,10,Puma Group,Resume(PUMA Group 1).pdf,
Internship - Project Management China within Product Engineering,Audi,28-07-24,03-08-24,Rejected ,11,Audi,Resume(AUDI 2).pdf,
Praktikum - Supply Chain International Projects,Audi,28-07-24,,In-progress,12,Audi,Resume(AUDI 3).pdf,
Working Student: Data Management and - Reporting (f/m/div) - Application,Infineon,28-07-24,08-08-24,Rejected ,13,Infineon,Resume Infineon.pdf,
Working Student* / Internship IT Support (1st Level),EDAG,28-07-24,05-08-24,Rejected ,14,EDAG,Resume(Working student IT Support (1st-Level).pdf,
 Amazon Returners Program - EU Retail,Amazon,29-07-24,07-08-24,Rejected ,15,Amazon,Resume.pdf,Application Tracking 
Working Student CRM Analyst,mytheresac,29-07-24,08-08-24,Rejected ,16,mytheresac,,
Marketing Data Analyst,DMG MORI ,29-07-24,02-08-24,Rejected ,17,DMG MORI ,,
Data Engineer (f/m/d) - 20h Working Student/Intern - Augsburg - GreenTech Startup,Credium,30-07-24,03-08-24,Rejected ,18,Credium,,
 Internship / working student IT-supported business processes,Pwc,30-07-24,04-08-24,Rejected ,19,Pwc,,
Service staff / kitchen assistant / service employee,KFC,30-07-24,,Rejected ,20,KFC,,
Shift Manager / Team Leader (f/m/d) - Your application at KFC,KFC,30-07-24,,Rejected ,21,KFC,,
Working Student position in Global Transformation,Mercedes-Benz,30-07-24,,Rejected ,22,Mercedes-Benz,,
Internship Group Pricing position,Volkswagen Group,30-07-24,,Rejected ,23,Volkswagen Group,,
Working Student position in Knowledge Management & Research,Horn & Company,31-07-24,06-08-24,Rejected ,24,Horn & Company,,
Working Student (f/m/d) Marketing Communications - Strategic Marketing,Siemens,31-07-24,10-08-24,Rejected ,25,Siemens ,,
Sortation Associate (m/f/d) - 90471 Nürnberg,Amazon,01-08-24,,Rejected ,26,Amazon,,
Research Assistant (m/f/d) UAV Swarm Control in Mixed Reality,THI,01-08-24,,Rejected ,27,THI,Resume,
Working Student - Procurement (f/m/x),IONITY,01-08-24,,Rejected ,28,IONITY,Resume,
Working student Learning & Development,Dennemeyer,01-08-24,,In-progress,29,Dennemeyer,Resume,
Working Student (f/m/d) Analytics for New Markets - Magnetic Resonance,Siemens,05-08-24,07-08-24,Rejected ,30,Siemens ,Resume Analytics for New Markets - Magnetic Resonance.pdf,
Werkstudent*in (w/m/d) Datenanalyse & BI Dashboard Erstellung,Siemens,05-08-24,,Rejected ,31,Siemens ,Resume German,
Werkstudent*in (w/m/d) im Bereich Maintenance Engineering,Siemens,05-08-24,08-08-24,Rejected ,32,Siemens ,Resume German,
Intern Improving Concepts Of Passive Safety Using AI ,BMW ,05-08-24,,Rejected ,33,BMW,Resume Intern Improving Concepts Of Passive Safety Using AI.pdf,
Working Student - Portfolio Management & Solution (Focus on Informatics),SMA Solar Technology AG,05-08-24,,Rejected ,34,SMA Solar Technology AG,,
